Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2024-01-09,3332.0,4103.0,4171.24,3815.64,4336.142857142857,4907.926333333334,7106.544333333333,-60.11000000000058,110.70176100903588,513.20444356993,2064.250734435095
2024-01-09,3332.0,4103.0,4171.24,3815.64,4293.708571428571,4865.128333333333,7074.313222222223,0.0,108.51829867651362,519.4909756614787,2087.3131818280904
2024-01-08,3268.0,4053.0,4112.55,3747.97,4244.93,4824.185333333333,7043.5363333333335,-58.6899999999996,100.93477233685681,529.0211527140364,2110.4661086868005
2024-01-05,3373.67,4167.67,4233.7,3864.31,4223.501428571429,4779.9039999999995,6995.66,121.14999999999964,80.39660428761306,520.653063549506,2124.9025511731143
2024-01-04,3424.0,4217.67,4281.88,3909.99,4214.021428571428,4731.157999999999,6950.062999999999,48.18000000000029,65.82924563580504,495.08163726946844,2138.726096039859
2024-01-03,3421.0,4197.33,4262.19,3907.36,4209.164285714285,4680.091666666666,6904.323888888889,-19.69000000000051,59.72762031588286,459.37555441459534,2151.8077897102535
2024-01-02,3439.0,4233.0,4289.52,3915.26,4217.4742857142855,4633.361666666667,6859.56,27.330000000000837,66.93999050342144,422.79862092465044,2163.9338014501304
2023-12-29,3376.0,4160.0,4231.52,3825.51,4226.085714285714,4584.660666666667,6820.526222222222,-58.0,63.80484565139251,378.4015710120762,2179.4197951148285
2023-12-28,3416.67,4216.0,4285.61,3870.55,4242.424285714286,4539.3460000000005,6781.608777777778,54.089999999999236,62.03869192096507,324.613718022384,2193.1753763670995
2023-12-26,3417.33,4241.0,4293.07,3890.81,4268.212857142857,4504.818,6749.345222222221,7.460000000000036,26.252305114702605,291.09324175580304,2208.3050291906707
2023-12-22,3425.33,4263.67,4311.54,3917.04,4279.332857142857,4475.444666666666,6707.615111111111,18.470000000000255,25.676267716225205,262.3211319887453,2218.582610526565
2023-12-21,3436.33,4246.67,4301.2,3913.87,4282.092857142858,4448.153,6656.956444444444,-10.340000000000146,26.999954145057803,234.01944654172675,2220.9237945014465
2023-12-20,3438.0,4254.0,4304.46,3928.89,4288.131428571429,4425.941666666667,6608.588777777778,3.2600000000002183,26.529543550125066,213.41843562046094,2224.2636421414622
