Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),Days,MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
1995-05-22,975.83,1342.67,1435.83,1436.0,163,974.7142857142857,978.6713333333333,994.5976666666666,-7.339999999999918,6.616040752449737,20.05258375876426,28.2405272195909
1995-05-23,977.0,1340.33,1432.5,1432.0,164,976.7857142857143,979.688,994.5513333333333,1.169999999999959,3.843435343293262,19.116582150149302,28.266214207388696
1995-05-24,972.17,1344.0,1434.52,1435.0,165,976.8342857142858,980.566,994.3495555555556,-4.830000000000041,3.7718512569748186,18.084950230165028,28.36134400038404
1995-05-25,948.67,1330.0,1422.2,1422.0,166,973.3342857142856,980.255,993.8403333333334,-23.5,11.397449798298847,18.560363914014438,28.767143533528948
1995-05-26,963.83,1354.33,1447.22,1447.0,167,971.5,981.0883333333333,993.4995555555556,15.160000000000082,11.797340095687405,17.14345438238397,28.940379236666057
1995-05-30,961.17,1349.33,1441.82,1442.0,168,968.8342857142856,980.7023333333333,992.9847777777778,-2.660000000000082,11.709263935224206,17.465024296522493,29.100154840615872
1995-05-31,981.83,1371.67,1462.88,1463.0,169,968.6428571428571,980.6023333333334,992.8217777777778,20.660000000000082,11.443779553808747,17.449156818543436,29.121321798998977
1995-06-01,989.0,1386.0,1477.55,1478.0,170,970.5242857142857,980.8856666666667,992.8236666666667,7.169999999999959,13.685395935256784,17.51631863451072,29.121065484350403
1995-06-02,980.17,1373.67,1460.99,1461.0,171,970.9771428571428,980.3523333333334,992.5977777777778,-8.830000000000041,13.984573303328613,17.276842320709893,29.13969479908419
1995-06-05,964.83,1345.67,1438.69,1439.0,172,969.9285714285714,978.7966666666666,992.1273333333334,-15.339999999999918,14.154373209448787,16.45720874085844,29.24338445498445
1995-06-06,942.33,1317.0,1403.39,1403.0,173,969.0228571428572,976.7133333333334,991.4328888888888,-22.5,15.843451553965037,16.995158404538543,29.677221706045298
1995-06-07,945.5,1322.33,1409.81,1410.0,174,966.4042857142857,974.9689999999999,990.7403333333332,3.169999999999959,18.186306072740795,17.432930066102124,30.01562036973046
1995-06-08,950.33,1329.33,1417.0,1417.0,175,964.8557142857144,973.5356666666667,990.0643333333333,4.830000000000041,19.142660784351314,17.637758416362686,30.234649816899882
1995-06-09,948.83,1326.33,1417.51,1418.0,176,960.1414285714285,971.619,989.3957777777778,-1.5,18.311082644645204,17.06611733917323,30.475522356005847
1995-06-10,944.17,1319.0,1410.37,1410.0,177,953.7371428571429,969.3303333333333,988.7346666666666,-4.660000000000082,13.82594025046773,15.913862636799733,30.805970463203657
1995-06-13,936.0,1304.33,1395.94,1396.0,178,947.4271428571429,967.236,987.9087777777777,-8.169999999999959,8.982736617692737,16.03162125300925,31.214173884605323
1995-06-14,936.0,1324.0,1412.95,1413.0,179,943.3085714285714,965.2193333333332,987.2587777777777,0.0,5.673315986766087,16.028714736119298,31.680984614273545
1995-06-15,967.83,1359.67,1448.41,1448.0,180,946.9514285714286,964.2413333333334,986.9476666666666,31.83000000000004,10.805624196949248,14.86484761820906,31.73330692902466
1995-06-16,974.33,1377.0,1468.21,1468.0,181,951.0699999999999,963.919,986.6087777777777,6.5,14.884612860265484,14.522522899938616,31.703035328674524
1995-06-19,974.5,1374.67,1462.94,1463.0,182,954.5228571428571,964.38,986.292111111111,0.16999999999995907,17.292926987919195,14.634904426956096,31.679799557249638
1995-06-20,969.67,1361.0,1455.07,1455.0,183,957.5,964.5830000000001,985.8439999999999,-4.830000000000041,17.931608962945276,14.665629805301222,31.625871495741695
1995-06-21,975.0,1372.33,1465.26,1465.0,184,961.9042857142857,964.8663333333334,985.3606666666666,5.330000000000041,17.898009998453453,14.78556016998217,31.453117342511472
1995-06-22,974.5,1371.0,1463.13,1463.0,185,967.4042857142857,965.3053333333334,984.568111111111,-0.5,14.129771002086512,14.872204050955851,30.80428530287988
